2026-04-09 20:17:40 | trip_planner | INFO | Fetched live rates for 166 currencies
2026-04-09 20:17:40 | trip_planner | INFO | [Node: Weather] Fetching weather data
2026-04-09 20:17:40 | trip_planner | WARNING | OPENWEATHER_API_KEY not set – weather will use Tavily fallback
2026-04-09 20:17:40 | trip_planner | INFO | Using Tavily fallback weather for Kolkata
2026-04-09 20:17:40 | trip_planner | INFO | Tavily search: 'current weather Kolkata Unknown temperature humidity forecast today'
2026-04-09 20:17:43 | trip_planner | INFO | [Node: Weather] Complete: 24.0°C, Clear Sky, 5 forecast days
2026-04-09 20:17:43 | trip_planner | INFO | [Node: Budget Planner] Starting budget calculation
2026-04-09 20:17:43 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:45 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:47 | trip_planner | ERROR | [Node: Budget Planner] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:17:47 | trip_planner | INFO | [Node: Hotel Finder] Starting hotel search
2026-04-09 20:17:47 | trip_planner | INFO | Tavily search: 'budget affordable hotels in Kolkata with good ratings booking.com MakeMyTrip 202...' 
2026-04-09 20:17:48 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:50 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:52 | trip_planner | ERROR | [Node: Hotel Finder] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:17:52 | trip_planner | INFO | [Node: Itinerary Planner] Starting itinerary creation
2026-04-09 20:17:52 | trip_planner | INFO | Tavily search: 'top activities things to do Kolkata Food & Cuisine History & Culture tourist att...' 
2026-04-09 20:17:52 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:55 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
2026-04-09 20:17:57 | trip_planner | ERROR | [Node: Itinerary Planner] Error: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}
2026-04-09 20:17:57 | trip_planner | INFO | [Node: Transport] Starting transport research
2026-04-09 20:17:57 | trip_planner | INFO | Tavily search: 'flights trains transport from India to Kolkata cost booking 2024 2025'
2026-04-09 20:17:57 | trip_planner | WARNING | Retrying llm.groq_client.GroqClient.invoke in 2 seconds as it raised NotFoundError: Error code: 404 - {'error': {'message': 'The model `llama3-8b-instant` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}.
